release_year,decade,is_modern,is_summer,is_awards,log_adj_budget,popularity,vote_average,log_vote_count,has_rating,director_popularity,director_experience,actor_popularity,avg_actor_popularity,actor_experience,producer_popularity,genre_count,budget_popularity_ratio,director_x_budget,actor_x_budget,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Adventure,genre_Crime,genre_Romance,genre_Horror,genre_Science_Fiction,genre_Fantasy,genre_Family,genre_Mystery,genre_Animation,genre_History,genre_War,target
1943.0,1940.0,0.0,0.0,0.0,15.057641906799702,8.3096,8.142,8.698013622083925,1.0,0.9581898671913424,1.0,3.7253333333333316,1.2417777777777772,1.0,0.9581898671913424,2.0,1.6174316734123595,14.428079898891198,18.698245105599266,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1944.0,1940.0,0.0,0.0,1.0,15.207553179241854,2.0991,7.6,6.799055862058796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.9070869540324145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Avg
1944.0,1940.0,0.0,0.0,0.0,15.651484479068865,2.4234,7.4,6.163314804034641,1.0,1.8411732570844086,2.0,0.0,0.0,0.0,0.0,2.0,4.5719122740751486,28.81709465653329,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Flop
1944.0,1940.0,0.0,0.0,1.0,15.722816488426933,1.7747,7.008,6.052089168924417,1.0,0.0,0.0,11.155191573640622,3.7183971912135405,1.0,0.0,4.0,5.666492409423337,0.0,58.46367666853265,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hit
1944.0,1940.0,0.0,1.0,0.0,15.112231455603029,2.716,8.092,7.605890001053122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.066800714640212,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1945.0,1940.0,0.0,0.0,1.0,15.37173735042208,1.5549,7.6,6.068425588244111,1.0,-0.7452222641509434,1.0,0.0,0.0,0.0,0.0,2.0,6.016571040127629,-11.455360912215166,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1945.0,1940.0,0.0,0.0,1.0,15.561380862459808,1.7188,7.6,6.102558594613569,1.0,5.9372384415683355,2.0,0.0,0.0,0.0,1.9973614775725592,2.0,5.723621032242096,92.3916286604822,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,1.0,15.929687768840557,1.8153,7.8,6.593044534142437,1.0,0.0,0.0,0.9607843137254904,0.3202614379084968,1.0,0.0,2.0,5.658255876404134,0.0,5.101664710282271,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,1.0,16.344631579899744,8.8648,8.3,8.487558386286548,1.0,9.123076923076923,2.0,5.3999999999999995,1.7999999999999998,1.0,12.846153846153845,3.0,1.6568639587117573,149.11333118277764,29.420336843819538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,1.0,0.0,13.801456956412027,2.1552,7.6,7.042286171939743,1.0,-0.25,1.0,7.32081017463933,2.4402700582131103,2.0,-0.25,3.0,4.374194015090019,-3.4503642391030067,33.67928217044931,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,0.0,15.880897610707754,2.2028,7.5,6.467698726104354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.9584418667128,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1946.0,1940.0,0.0,0.0,1.0,14.271460205350383,1.8092,7.3,5.91350300563827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.080257797718349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1946.0,1940.0,0.0,1.0,0.0,15.880897610707754,2.5061,7.7,7.457609289715606,1.0,1.10375911059296,3.0,2.538571944588637,0.5404030465701962,2.0,-0.37106918238993714,3.0,4.52950503713749,17.528685422212654,8.58208545109582,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Hit
