movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
20829,Funny People,2009-07-30,"Comedy, Drama",Judd Apatow,"Adam Sandler, Seth Rogen, Leslie Mann, Eric Bana, Jonah Hill","Clayton Townsend, Barry Mendel",75000000,71600000,2.7162,5.892,1399,"['Universal Pictures', 'Columbia Pictures', 'Relativity Media', 'Apatow Productions', 'Madison 23 Productions']"
157370,Kill Your Darlings,2013-10-16,"Drama, Romance, Thriller",John Krokidas,"Daniel Radcliffe, Dane DeHaan, Michael C. Hall, Jack Huston, Ben Foster","Michael Benaroya, Christine Vachon",5600000,1600000,1.7164,7.028,1401,"['Killer Films', 'Sunny Field Entertainment']"
351819,Fifty Shades of Black,2016-01-28,"Romance, Comedy",Michael Tiddes,"Marlon Wayans, Kali Hawk, Fred Willard, Mike Epps, Affion Crockett","Marlon Wayans, Rick Alvarez",20000000,21164799,2.9453,4.9,1398,"['Wayans Alvarez Productions', 'IM Global', 'Open Road Films']"
72207,The Five-Year Engagement,2012-04-27,"Comedy, Romance",Nicholas Stoller,"Jason Segel, Emily Blunt, Rhys Ifans, Chris Pratt, Alison Brie","Rodney Rothman, Judd Apatow",30000000,54169363,1.9378,5.856,1400,"['Universal Pictures', 'Relativity Media', 'Apatow Productions', 'Stoller Global Solutions', 'dentsu']"
393345,Cult of Chucky,2017-10-12,"Horror, Thriller",Don Mancini,"Fiona Dourif, Brad Dourif, Alex Vincent, Jennifer Tilly, Michael Therriault","David Kirschner, Ogden Gavanski",6500000,2332018,2.9156,5.833,1398,"['Universal 1440 Entertainment', 'David Kirschner Productions']"
513045,Stuber,2019-07-11,"Action, Comedy",Michael Dowse,"Dave Bautista, Kumail Nanjiani, Mira Sorvino, Natalie Morales, Iko Uwais","Jonathan Goldstein, John Francis Daley",16000000,32400000,2.7084,6.6,1397,['GoldDay']
4959,The International,2009-02-03,"Action, Thriller, Crime, Mystery",Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl, Ulrich Thomsen, Brían F. O'Byrne","Charles Roven, Lloyd Phillips",50000000,60161391,2.1352,6.252,1398,"['Studio Babelsberg', 'Atlas Entertainment', 'Mosaic Media Group', 'X Filme Creative Pool', 'Columbia Pictures']"
849,Krull,1983-07-29,"Action, Adventure, Fantasy, Science Fiction",Peter Yates,"Ken Marshall, Lysette Anthony, Freddie Jones, Francesca Annis, Alun Armstrong","Geoffrey Helman, Ron Silverman",27000000,16916617,4.7225,6.046,609,"['Barclays Mercantile Industrial Finance', 'Columbia Pictures']"
14412,Body Heat,1981-08-28,"Thriller, Crime",Lawrence Kasdan,"William Hurt, Kathleen Turner, Richard Crenna, Ted Danson, J.A. Preston",Fred T. Gallo,9000000,24058838,3.7337,6.984,673,['The Ladd Company']
12289,Red Cliff,2008-07-10,"Adventure, Drama, History, Action, War",John Woo,"Tony Leung Chiu-wai, Takeshi Kaneshiro, Zhang Fengyi, Chang Chen, Vicky Zhao","Terence Chang, Han Sanping",80341000,250100000,3.918,7.1,877,"['Lion Rock Productions', 'Showbox', 'Beijing Film Studio', 'Avex Entertainment', 'CMC Entertainment', 'Shanghai Film Group', 'Emperor Multimedia Group', 'China Movie Channel', 'Summit Entertainment', 'Beijing Jinyinma Movie & TV Culture Co.', 'Beijing Forbidden City Film', 'Red Cliff Korea Investment', 'Chengtian Entertainment', 'Bona Film Group', 'China Film Group Corporation']"
